"Number","Question","What was the problem type?","What was the problem?","How would you fix it?","Answer","Commit","Comment"
21,"insert into dbo.d_arvokyselykerta ( SELECT distinct -1 ,[source] ,koodi ,nimi FROM ANTERO_SA.dbo.sa_koodistot where koodisto='vipunenmeta' and koodi='-1' );",performance,Used DISTINCT to remove duplicates which can be 10 times slower than GROUP BY,Replace DISTINCT with GROUP BY for better performance,"insert into dbo.d_arvokyselykerta ( SELECT -1 ,[source] ,koodi ,nimi FROM ANTERO_SA.dbo.sa_koodistot where koodisto='vipunenmeta' and koodi='-1' group by [source] ,koodi ,nimi );",19327d9e094ed4535a476bb331911f2e06bcb1c5,DISTINCT and GROUP BY produce the same result but GROUP BY is typically more efficient for deduplication
22,"CREATE TABLE groups ( id SERIAL PRIMARY KEY NOT NULL, name VARCHAR(50) UNIQUE NOT NULL );",data integrity,The group name column has no constraint preventing empty strings from being inserted which violates business logic,Add a CHECK constraint to ensure the name field cannot be empty,"CREATE TABLE groups ( id SERIAL PRIMARY KEY NOT NULL, name VARCHAR(50) UNIQUE NOT NULL CHECK (char_length(name) >= 1) );",dfe62cb36a95bfce3e4446bfc04d80eeee01f9a5,Always add CHECK constraints to enforce domain rules at the database level to prevent invalid data
23,"CREATE TABLE software (cveid INT, cpeEntryId INT, previousVersion VARCHAR(50), CONSTRAINT fkSoftwareCve FOREIGN KEY (cveid) REFERENCES vulnerability(id) ON DELETE CASCADE, CONSTRAINT fkSoftwareCpeProduct FOREIGN KEY (cpeEntryId) REFERENCES cpeEntry(id));",Data Integrity,The software table was created without a PRIMARY KEY. Without it, duplicate rows with the same (cveid, cpeEntryId) combination could be inserted silently, violating data integrity and causing incorrect query results.,Add a composite PRIMARY KEY (cveid, cpeEntryId) to enforce uniqueness and prevent duplicate rows.,"CREATE TABLE software (cveid INT, cpeEntryId INT, previousVersion VARCHAR(50), CONSTRAINT fkSoftwareCve FOREIGN KEY (cveid) REFERENCES vulnerability(id) ON DELETE CASCADE, CONSTRAINT fkSoftwareCpeProduct FOREIGN KEY (cpeEntryId) REFERENCES cpeEntry(id), PRIMARY KEY (cveid, cpeEntryId));",ca54daf45648e40c878ab2ef180674d4479e9cce,
24,"report_value bytea NOT NULL,",Bug,A trailing comma after the last column definition in a CREATE TABLE statement is a syntax error in PostgreSQL. It would prevent the table from being created at all.,Remove the trailing comma after the last column definition.,"report_value bytea NOT NULL",704b76b8cdc98241a602ddc723457305503047c3,
25,"ALARMFFAMILY VARCHAR(20) NOT NULL,",Data Integrity,"The ALARMFFAMILY column was defined with a size of VARCHAR(20), which is too small to store alarm family names longer than 20 characters. Any value exceeding this limit would be rejected or silently truncated.",Increase the column size from VARCHAR(20) to VARCHAR(64) to accommodate longer alarm family names.,"ALARMFFAMILY VARCHAR(64) NOT NULL,",f5b9ee332060dab71c5c6a238ac8267b0e399348,
26,"SELECT * FROM movies WHERE (SELECT COUNT(*) FROM roles WHERE movie_id = movies.id) > 0;",performance,COUNT(*) scans all matching rows even though we only need to know if at least one exists which wastes resources,Use EXISTS instead of COUNT so the query stops as soon as it finds the first matching row,"SELECT * FROM movies WHERE EXISTS (SELECT 1 FROM roles WHERE movie_id = movies.id);",N/A,EXISTS short-circuits and is significantly faster than COUNT for existence checks
27,"SELECT * FROM actors JOIN roles ON actors.id = roles.actor_id;",performance,SELECT * fetches all columns from all joined tables including unnecessary ones which increases memory usage and prevents covering indexes,Explicitly select only the columns needed by the application,"SELECT actors.id, actors.first_name, actors.last_name FROM actors JOIN roles ON actors.id = roles.actor_id;",N/A,Fetching only required columns reduces I/O and allows the optimizer to use covering indexes
28,"CREATE TABLE movies ( id INT PRIMARY KEY, name VARCHAR(100) );",data integrity,The name column has no NOT NULL constraint which allows movies to be inserted without a name violating basic business logic,Add NOT NULL constraint to enforce that every movie must have a name,"CREATE TABLE movies ( id INT PRIMARY KEY, name VARCHAR(100) NOT NULL );",N/A,Always add NOT NULL to columns that are required by business logic to prevent invalid data at the database level
29,"CREATE TABLE registrations (
    id BIGINT,
    contact VARCHAR(255)
); /* Placeholder SQL */",data integrity,Columns in the registrations table allowed NULL values which could lead to incomplete data states.,Add NOT NULL constraints to the schema definition.,"CREATE TABLE registrations (
    id BIGINT NOT NULL,
    contact VARCHAR(255) NOT NULL
); /* Placeholder SQL */",a1e9f064bdf11f3373eb0067264ea360519bafcc,
30,"INSERT INTO systempreferences (variable, value) VALUES ('Insecure', 'NO'); /* Placeholder SQL */",data integrity,Storing a boolean state as 'NO' caused logical errors in Perl because the string 'NO' evaluates to true.,Change the inserted value to '0' so it represents false correctly in Perl.,"INSERT INTO systempreferences (variable, value) VALUES ('Insecure', '0'); /* Placeholder SQL */",9d7a4829be6f7348bcc5e81535c3ff2dc11883f3,
31,"ALTER TABLE host DROP COLUMN icon_id; /* Placeholder SQL */",fix,Attempting to drop a column that is actively referenced by a foreign key constraint will fail.,Drop the foreign key constraint before dropping the column.,"ALTER TABLE host DROP FOREIGN KEY fk_host_icon;
ALTER TABLE host DROP COLUMN icon_id; /* Placeholder SQL */",620844879b88ef87f3bc4487b599640a32a51c57,
32,"CREATE INDEX idx_anzeige_name ON mv_organisation (anzeige_name); /* Placeholder SQL */",performance,The index on the string column exceeded the maximum allowed key length for the database engine.,Limit the index to a specific prefix length of the string to fit within engine constraints.,"CREATE INDEX idx_anzeige_name ON mv_organisation (anzeige_name(255)); /* Placeholder SQL */",4b15025750988e10753e508eb8ff838dce94e812,
33,"ALTER TABLE backup_ids ADD CONSTRAINT backup_ids_uk UNIQUE (backup_code, table_name, old_id); /* Placeholder SQL */",data integrity,The unique constraint name was too generic causing naming collisions when multiple instances were installed in the same database.,Rename the constraint to include a specific prefix.,"ALTER TABLE backup_ids ADD CONSTRAINT prefix_backup_ids_uk UNIQUE (backup_code, table_name, old_id); /* Placeholder SQL */",88629fc41946d91ebd87579c369b82bcae652b31,
34,"drop table if exists Recipes; drop table if exists Users; create table Users (user_id varchar(128) primary key, email varchar(128) not null, name varchar(128) not null, last_login datetime not null); create table Recipes (recipe_id char(6) primary key, name varchar(128) not null, passhash char(32) not null);",fix,The schema script drops and recreates the tables every time it runs permanently destroying all existing data on each execution,Remove the DROP TABLE statements and use CREATE TABLE IF NOT EXISTS instead of CREATE TABLE so the script is safe to run on an already-populated database,"create table if not exists Users (user_id varchar(128) primary key, email varchar(128) not null, name varchar(128) not null, last_login datetime not null); create table if not exists Recipes (recipe_id char(6) primary key, name varchar(128) not null, passhash char(32) not null);",f1bcbe3ab06e44c1a18326e2d102e91d471c1037,Destructive DDL scripts that drop tables should always be guarded; use IF NOT EXISTS for idempotent schema creation
35,"SELECT user_id, stream_ordering, topological_ordering, room_id, event_id, type, profile_tag, actions, last_stream_ordering_actioned_by_target_device FROM event_push_actions WHERE user_id = ? AND stream_ordering > ? ORDER BY stream_ordering ASC LIMIT 10;",performance,Without an index on stream_ordering and user_id any query filtering or ordering by these columns performs a full table scan which is slow as the table grows,Add a composite index on the frequently-queried columns,"CREATE INDEX event_push_actions_stream_ordering ON event_push_actions(stream_ordering, user_id);",96bcfb29c7b8cb04f4b887c518016cb968645cb9,Always add indexes on columns used in WHERE clauses and ORDER BY; a composite index covering both columns is especially efficient here
36,"CREATE TABLE `post` (... ) ENGINE=MyISAM DEFAULT CHARSET=utf8mb4 ROW_FORMAT=DYNAMIC;
ALTER TABLE `post` ADD KEY `post_user` (`user`);",data integrity,"The post table used the MyISAM storage engine. MyISAM does not support foreign keys, so the database could not enforce the relationship between posts and users. This may allow posts to reference users that do not exist.",Change the table engine to InnoDB and add a foreign key from post.user to user.id. This preserves the relationship between the tables and improves data integrity.,"ALTER TABLE `post` ENGINE=InnoDB;
ALTER TABLE `post` ADD CONSTRAINT `post_user` FOREIGN KEY (`user`) REFERENCES `user` (`id`) ON DELETE CASCADE ON UPDATE CASCADE;",a1a63eb2f812d621d3b3d7db2c00346bb94c0709,"Commit 72412, group 12. The change keeps fulltext functionality in newer MySQL/MariaDB versions while allowing foreign keys."
37,"CREATE TABLE `suggestions` (
  PRIMARY KEY (`suggestionid`),
  KEY `suggestedby` (`suggestedby`),
  KEY `managedby` (`managedby`)
);",performance,"The suggestions table was missing indexes on columns that are commonly used in queries, such as STATUS, biblionumber, and branchcode. Without these indexes, filtering and lookup queries may be slower, especially on large tables or inside loops.",Add indexes on the columns that are frequently used for filtering or lookup operations.,"KEY `status` (`STATUS`),
KEY `biblionumber` (`biblionumber`),
KEY `branchcode` (`branchcode`)",2ccecbe3ac308724ed7554592dcfbb93be76bd84,"Commit 75312, group 12. This is a clear real-world performance improvement using indexes."
38,"SELECT w.id
FROM way w
WHERE w.id NOT IN (
    SELECT way_id
    FROM fusion_way
);",performance,Using NOT IN with a subquery may be inefficient on large tables and can also behave unexpectedly if the subquery returns NULL values.,Replace NOT IN with a LEFT JOIN and keep only the rows where no matching row exists in the joined table.,"SELECT w.id
FROM way w
LEFT JOIN fusion_way fw
    ON w.id = fw.way_id
WHERE fw.way_id IS NULL;",Bonus idea,Bonus improvement idea based on a common query optimization pattern.
39,"SELECT DISTINCT customer_id, order_date
FROM orders;",performance,"DISTINCT is used only to remove duplicate rows. On large result sets this may be slower, because the database must compare and remove duplicates from the output.",Use GROUP BY on the relevant columns when the goal is to return one row per group.,"SELECT customer_id, order_date
FROM orders
GROUP BY customer_id, order_date;",Bonus idea,Bonus improvement idea: replace DISTINCT with GROUP BY when it better represents the grouping logic.
40,"SELECT *
FROM movies;",performance,"The query uses SELECT *, which returns all columns even when only some of them are needed. This can make the query slower by increasing I/O, memory usage, and data transfer, and it also makes the query less clear.",Select only the columns that are actually needed by the query or application.,"SELECT id, name, year
FROM movies;",Bonus idea,Bonus improvement idea: avoid SELECT * and select only required columns to improve performance and readability.
41,"encumber_open smallint(1) NOT NULL default 1, -- whether or not to encumber the finds when invoice is still open","Refactor opportunity","Typo in SQL comment: finds instead of funds.","Correct the comment text.","encumber_open smallint(1) NOT NULL default 1, -- whether or not to encumber the funds when invoice is still open","a02aeec94f1c5f4d661450cce195fc43005ae6e4","Documentation/readability fix."
42,"UPDATE `areatrigger_teleport` SET `target_orientation` = 3.30496 WHERE `id`=922;","Bug","Wrong target_orientation value for the area trigger.","Set the correct target_orientation value.","UPDATE `areatrigger_teleport` SET `target_orientation` = 3.30496 WHERE `id`=922;","9b25801b2f5a98ad5dc50c7517f06ac08b566212","Corrects an incorrect DB value."
43,"UPDATE `creature_template` SET `gossip_menu_id`=9691 WHERE `entry`=28471; DELETE FROM `gossip_menu_option` WHERE `menu_id` IN (9691,9692,9693,9791,10371); INSERT INTO `gossip_menu_option` (...) VALUES (...);","Data Integrity","Incorrect or missing gossip menu relations.","Update the menu ids and recreate the related menu options.","UPDATE `creature_template` SET `gossip_menu_id`=9691 WHERE `entry`=28471; DELETE FROM `gossip_menu_option` WHERE `menu_id` IN (9691,9692,9693,9791,10371); INSERT INTO `gossip_menu_option` (...) VALUES (...);","369c1bd3c1bba968cf94bb56f3a8a3ba9e9fcd36","Fixes relations between DB records."
44,"UPDATE `quest_template` SET `NextQuestId`=12257 WHERE `ID`=12468;","Data Integrity","Incorrect next quest relation.","Set the correct NextQuestId value.","UPDATE `quest_template` SET `NextQuestId`=12257 WHERE `ID`=12468;","f50ad5dd990d07e7a64e325b3002e91d65fc30fc","Fixes the quest chain relation."
45,"INSERT INTO schema_migrations (version) VALUES ('20190825000337'); <<<<<<< HEAD ======= INSERT INTO schema_migrations (version) VALUES ('20190422003442'); >>>>>>> Update for dev provisions","Bug","Git conflict markers were left in the SQL file.","Remove the conflict markers and keep valid SQL.","INSERT INTO schema_migrations (version) VALUES ('20190825000337'); INSERT INTO schema_migrations (version) VALUES ('20190422003442');","22ecdf40717ddb57230ce1f4643671cdbdffa908","Fixes first-time database setup."
46,"INSERT INTO spell_proc_event VALUES (54488, 0x00, 0, 0x20000021, 0x00009000, 0x00000000, 0x00000000, 0x00000000, 0, 0, 0), (54489, 0x00, 0, 0x20000021, 0x00009000, 0x00000000, 0x00000000, 0x00000000, 0, 0, 0), (54490, 0x00, 0, 0x20000021, 0x00009000, 0x00000000, 0x00000000, 0x00000000, 0, 0, 0), (54646, 0x00, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 0x00000002, 0, 0, 0); (54695, 0x00, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 0, 0, 45), (54707, 0x00, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 0, 0, 60), (54738, 0x00, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 0x00000002, 0, 0, 45);","bug","A semicolon ends the INSERT statement too early, so the remaining rows are not included in the same INSERT.","Replace the semicolon after the row with entry 54646 with a comma, so all rows stay inside the same INSERT statement.","INSERT INTO spell_proc_event VALUES (54488, 0x00, 0, 0x20000021, 0x00009000, 0x00000000, 0x00000000, 0x00000000, 0, 0, 0), (54489, 0x00, 0, 0x20000021, 0x00009000, 0x00000000, 0x00000000, 0x00000000, 0, 0, 0), (54490, 0x00, 0, 0x20000021, 0x00009000, 0x00000000, 0x00000000, 0x00000000, 0, 0, 0), (54646, 0x00, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 0x00000002, 0, 0, 0), (54695, 0x00, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 0, 0, 45), (54707, 0x00, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 0, 0, 60), (54738, 0x00, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 0x00000002, 0, 0, 45);","7798474e74e39e4a3bb712cdc194f833bc16e3d5",""
47,"ALTER TABLE event_log_email DROP COLUMN max_following_teacher;","bug","The ALTER TABLE statement uses the wrong table name. The rollback tries to drop max_following_teacher from event_log_email, although the corrected commit shows that the column should be dropped from m_plan.","Use the correct table name in the ALTER TABLE statement.","ALTER TABLE m_plan DROP COLUMN max_following_teacher;","fa2a91a1177aa4af3f44154cf932d442b1f3212a",""
48,"SET @ENTRY := 2287 DELETE FROM `creature_text` WHERE `entry`=@ENTRY;","bug","The first SQL statement is missing a semicolon, so the SET statement and the DELETE statement are joined together incorrectly.","Add a semicolon after the SET statement before starting the DELETE statement.","SET @ENTRY := 2287; DELETE FROM `creature_text` WHERE `entry`=@ENTRY;","937fcc38100c46edfad89e62bdcc85d0a0f79b4d",""
49,"INSERT INTO `authorised_values` (`category`, `authorised_value`, `lib`) VALUES ('COUNTRY', 'CC', 'Cocos, île des'); INSERT INTO `authorised_values` (`category`, `authorised_value`, `lib`) VALUES ('COUNTRY', 'CC', 'Keeling');","data integrity","The same lookup value is inserted twice. Both rows use the same category and authorised_value, but with different labels.","Remove the duplicate row and keep only one value for the same category and authorised_value.","INSERT INTO `authorised_values` (`category`, `authorised_value`, `lib`) VALUES ('COUNTRY', 'CC', 'Cocos, île des');","323e1a2a2f28881e6aed13c78df1d0a3d5069c4e",""
